CLDR,Meaning,Note,Unicode
auto-rickshaw,"['An auto rickshaw, often referred to as a\xa0tuk tuk.\xa0This motorized version of a\xa0cycle rickshaw is\xa0used for transport in many regions of the world. Generally this emoji\xa0has three wheels\xa0and open sides without doors.']",[],['\nAuto Rickshaw was approved as part of Unicode 12.0 in 2019 and added to Emoji 12.0 in 2019.\n']
automobile,"['A car\xa0shown from the side, facing right-to-left. Appears as a red car on almost all platforms (which goes faster), though earlier Google designs displayed the vehicle as either silver or blue.', ""Facebook's first design for this emoji was also blue.""]",[],['\nAutomobile was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
avocado,"['A pear-shaped avocado, sliced in half to show its yellow-green flesh and large brown pit. Ready for toast, guacamole, or millennial jokes.']",[],['\nAvocado was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.\n']
axe,"['An axe with a wooden handle and a metal blade. On many platforms the blade is red, like a fire axe.']",[],['\nAxe was approved as part of Unicode 12.0 in 2019 and added to Emoji 12.0 in 2019.\n']
b-button-blood-type,"['A symbol representing Blood Type B.\xa0Displayed as the letter B\xa0on a red background.', ""Sometimes used online to replace the letter C at the start of words\xa0in reference to the Bloods street gang's practice\xa0of turning words like cool\xa0into\xa0bool. This has expanded in some instances to starting any word with the letter B, or more specifically, this emoji which makes it more\xa0🅱️lear that a letter has been replaced.""]",[],['\nB Button (Blood Type) was approved as part of Unicode 6.0 in 2010 under the name “Negative Squared Latin Capital Letter B” and added to Emoji 1.0 in 2015.\n']
baby-angel-dark-skin-tone,[],['\nThe Baby Angel: Dark Skin Tone emoji is a modifier sequence combining 👼 Baby Angel and 🏿 Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBaby Angel: Dark Skin Tone was added to Emoji 2.0 in 2015.\n']
baby-angel-light-skin-tone,[],['\nThe Baby Angel: Light Skin Tone emoji is a modifier sequence combining 👼 Baby Angel and 🏻 Light Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBaby Angel: Light Skin Tone was added to Emoji 2.0 in 2015.\n']
baby-angel-medium-dark-skin-tone,[],['\nThe Baby Angel: Medium-Dark Skin Tone emoji is a modifier sequence combining 👼 Baby Angel and 🏾 Medium-Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBaby Angel: Medium-Dark Skin Tone was added to Emoji 2.0 in 2015.\n']
baby-angel-medium-light-skin-tone,[],['\nThe Baby Angel: Medium-Light Skin Tone emoji is a modifier sequence combining 👼 Baby Angel and 🏼 Medium-Light Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBaby Angel: Medium-Light Skin Tone was added to Emoji 2.0 in 2015.\n']
baby-angel-medium-skin-tone,[],['\nThe Baby Angel: Medium Skin Tone emoji is a modifier sequence combining 👼 Baby Angel and 🏽 Medium Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBaby Angel: Medium Skin Tone was added to Emoji 2.0 in 2015.\n']
baby-angel,"['A baby with a halo and wings. Can represent a sweet baby, a biblical cherub, a mythological cupid, a decorative putto, or an angel as a supernatural being in general. This emoji can\xa0be used earnestly or\xa0in a tongue-in-cheek way to talk about goodness or innocence.', ""It is often used to express affection for people, especially children at birth or, more sadly, after death. This emoji pops up in a large variety\xa0of contexts ranging from innocence, love, Valentine's Day, positive feelings like gratitude, and the Christian faith, especially during Christmas."", 'See also 👶 Baby.']",[],['\nBaby Angel was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
baby-bottle,"['A bottle of\xa0milk\xa0or\xa0formula,\xa0as or fed to a\xa0baby, with a bluish cap and rubber nipple or teat. Positioned upright or at a 45° angle, and filled to various levels, sometimes showing fill lines. Often used for newborns\xa0and childrearing. See also Breast-Feeding.']",[],['\nBaby Bottle was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
baby-chick,"['A yellow baby chicken (chick). Variously depicted as a chick in full profile, standing on its legs, or as a chick head. Both designs show the bird facing left, with an orange beak and feet.', 'Often used with an affectionate tone. May be used to represent various types of baby birds. May also be used to represent\xa0chicken foods (e.g., poultry, eggs), spring, Easter, or slang senses of chick.', 'Not to be confused with 🐣 Hatching Chick or 🐥Front-Facing Baby Chick, though their applications overlap. See also 🐔 Chicken and 🐓 Rooster.', 'Apple, WhatsApp, and Facebook’s designs feature a chick head;\xa0other major platforms display a full-bodied chick.']",[],['\nBaby Chick was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
